Date,Open,High,Low,Close,Adj Close,Volume
1999-08-01,6.099000,6.272000,5.854000,6.066000,6.066000,0
1999-09-01,6.070000,6.145000,5.940000,6.056000,6.056000,0
1999-10-01,6.086000,6.398000,6.086000,6.149000,6.149000,0
1999-11-01,6.161000,6.314000,5.986000,6.281000,6.281000,0
1999-12-01,6.321000,6.487000,6.156000,6.477000,6.477000,0
2000-01-01,6.537000,6.753000,6.370000,6.491000,6.491000,0
2000-02-01,6.473000,6.488000,6.052000,6.133000,6.133000,0
2000-03-01,6.124000,6.196000,5.829000,5.846000,5.846000,0
2000-04-01,5.827000,6.019000,5.624000,5.962000,5.962000,0
2000-05-01,5.969000,6.250000,5.945000,6.017000,6.017000,0
2000-06-01,6.012000,6.038000,5.807000,5.881000,5.881000,0
2000-07-01,5.898000,5.939000,5.747000,5.780000,5.780000,0
2000-08-01,5.774000,5.799000,5.633000,5.674000,5.674000,0
2000-09-01,5.670000,5.976000,5.631000,5.869000,5.869000,0
2000-10-01,5.869000,5.947000,5.679000,5.784000,5.784000,0
2000-11-01,5.773000,5.923000,5.572000,5.586000,5.586000,0
2000-12-01,5.627000,5.674000,5.379000,5.459000,5.459000,0
2001-01-01,5.433000,5.689000,5.307000,5.536000,5.536000,0
2001-02-01,5.480000,5.572000,5.329000,5.337000,5.337000,0
2001-03-01,5.287000,5.503000,5.217000,5.453000,5.453000,0
2001-04-01,5.441000,5.818000,5.432000,5.772000,5.772000,0
2001-05-01,5.779000,5.901000,5.564000,5.779000,5.779000,0
2001-06-01,5.754000,5.773000,5.567000,5.736000,5.736000,0
2001-07-01,5.750000,5.771000,5.502000,5.502000,5.502000,0
2001-08-01,5.524000,5.617000,5.339000,5.368000,5.368000,0
2001-09-01,5.385000,5.633000,5.347000,5.415000,5.415000,0
2001-10-01,5.415000,5.447000,4.833000,4.873000,4.873000,0
2001-11-01,4.812000,5.404000,4.662000,5.265000,5.265000,0
2001-12-01,5.267000,5.715000,5.197000,5.478000,5.478000,0
2002-01-01,5.494000,5.629000,5.313000,5.426000,5.426000,0
2002-02-01,5.439000,5.507000,5.317000,5.409000,5.409000,0
2002-03-01,5.429000,5.860000,5.424000,5.815000,5.815000,0
2002-04-01,5.805000,5.857000,5.576000,5.594000,5.594000,0
2002-05-01,5.587000,5.775000,5.523000,5.612000,5.612000,0
2002-06-01,5.637000,5.677000,5.320000,5.517000,5.517000,0
2002-07-01,5.508000,5.558000,5.178000,5.305000,5.305000,0
2002-08-01,5.311000,5.330000,4.827000,4.937000,4.937000,0
2002-09-01,4.881000,4.920000,4.606000,4.662000,4.662000,0
2002-10-01,4.706000,5.214000,4.631000,5.007000,5.007000,0
2002-11-01,5.003000,5.130000,4.722000,5.048000,5.048000,0
2002-12-01,5.147000,5.157000,4.709000,4.783000,4.783000,0
2003-01-01,4.826000,5.094000,4.804000,4.847000,4.847000,0
2003-02-01,4.870000,4.916000,4.673000,4.676000,4.676000,0
2003-03-01,4.688000,5.043000,4.603000,4.837000,4.837000,0
2003-04-01,4.816000,5.056000,4.777000,4.778000,4.778000,0
2003-05-01,4.762000,4.850000,4.229000,4.362000,4.362000,0
2003-06-01,4.405000,4.624000,4.135000,4.566000,4.566000,0
2003-07-01,4.550000,5.445000,4.526000,5.410000,5.410000,0
2003-08-01,5.484000,5.495000,5.145000,5.224000,5.224000,0
2003-09-01,5.281000,5.369000,4.884000,4.884000,4.884000,0
2003-10-01,4.888000,5.331000,4.873000,5.145000,5.145000,0
2003-11-01,5.155000,5.298000,4.975000,5.126000,5.126000,0
2003-12-01,5.131000,5.214000,4.929000,5.068000,5.068000,0
2004-01-01,5.093000,5.219000,4.803000,4.965000,4.965000,0
2004-02-01,4.990000,5.013000,4.856000,4.857000,4.857000,0
2004-03-01,4.848000,4.951000,4.620000,4.777000,4.777000,0
2004-04-01,4.779000,5.338000,4.777000,5.282000,5.282000,0
2004-05-01,5.306000,5.597000,5.250000,5.348000,5.348000,0
2004-06-01,5.371000,5.536000,5.287000,5.313000,5.313000,0
2004-07-01,5.306000,5.352000,5.108000,5.205000,5.205000,0
2004-08-01,5.174000,5.205000,4.914000,4.938000,4.938000,0
2004-09-01,4.910000,5.062000,4.757000,4.891000,4.891000,0
2004-10-01,4.922000,5.009000,4.731000,4.794000,4.794000,0
2004-11-01,4.813000,5.034000,4.789000,5.012000,5.012000,0
2004-12-01,5.004000,5.066000,4.703000,4.822000,4.822000,0
2005-01-01,4.856000,4.902000,4.589000,4.590000,4.590000,315900
2005-02-01,4.573000,4.732000,4.351000,4.706000,4.706000,2959200
2005-03-01,4.709000,4.931000,4.607000,4.766000,4.766000,2007900
2005-04-01,4.754000,4.825000,4.469000,4.519000,4.519000,631400
2005-05-01,4.500000,4.667000,4.334000,4.347000,4.347000,474000
2005-06-01,4.308000,4.495000,4.151000,4.219000,4.219000,0
2005-07-01,4.208000,4.510000,4.205000,4.474000,4.474000,473800
2005-08-01,4.491000,4.618000,4.254000,4.261000,4.261000,0
2005-09-01,4.283000,4.594000,4.253000,4.568000,4.568000,0
2005-10-01,4.558000,4.812000,4.553000,4.755000,4.755000,0
2005-11-01,4.742000,4.879000,4.604000,4.703000,4.703000,0
2005-12-01,4.683000,4.779000,4.479000,4.547000,4.547000,0
2006-01-01,4.587000,4.734000,4.475000,4.685000,4.685000,0
2006-02-01,4.695000,4.735000,4.460000,4.503000,4.503000,0
2006-03-01,4.530000,4.921000,4.519000,4.893000,4.893000,0
2006-04-01,4.928000,5.224000,4.872000,5.169000,5.169000,0
2006-05-01,5.155000,5.307000,5.073000,5.207000,5.207000,0
2006-06-01,5.238000,5.285000,4.998000,5.186000,5.186000,0
2006-07-01,5.201000,5.292000,5.051000,5.070000,5.070000,0
2006-08-01,5.082000,5.120000,4.876000,4.878000,4.878000,0
2006-09-01,4.869000,4.977000,4.676000,4.767000,4.767000,0
2006-10-01,4.784000,4.976000,4.711000,4.719000,4.719000,0
2006-11-01,4.720000,4.830000,4.561000,4.561000,4.561000,0
2006-12-01,4.578000,4.843000,4.525000,4.818000,4.818000,0
2007-01-01,4.766000,5.021000,4.687000,4.926000,4.926000,0
2007-02-01,4.913000,4.943000,4.625000,4.669000,4.669000,0
2007-03-01,4.648000,4.855000,4.621000,4.848000,4.848000,0
2007-04-01,4.836000,4.943000,4.796000,4.817000,4.817000,0
2007-05-01,4.805000,5.051000,4.758000,5.011000,5.011000,0
2007-06-01,5.019000,5.408000,4.996000,5.126000,5.126000,0
2007-07-01,5.133000,5.291000,4.915000,4.922000,4.922000,0
2007-08-01,4.902000,5.055000,4.814000,4.831000,4.831000,0
2007-09-01,4.816000,4.959000,4.617000,4.833000,4.833000,0
2007-10-01,4.831000,4.928000,4.626000,4.751000,4.751000,0
2007-11-01,4.727000,4.729000,4.279000,4.403000,4.403000,0
2007-12-01,4.376000,4.686000,4.309000,4.459000,4.459000,0
2008-01-01,4.451000,4.467000,4.102000,4.354000,4.354000,0
2008-02-01,4.352000,4.720000,4.280000,4.421000,4.421000,0
2008-03-01,4.447000,4.609000,4.164000,4.306000,4.306000,0
2008-04-01,4.348000,4.624000,4.275000,4.497000,4.497000,0
2008-05-01,4.486000,4.807000,4.423000,4.707000,4.707000,0
2008-06-01,4.705000,4.813000,4.493000,4.531000,4.531000,0
2008-07-01,4.501000,4.717000,4.404000,4.603000,4.603000,0
2008-08-01,4.572000,4.722000,4.364000,4.412000,4.412000,0
2008-09-01,4.442000,4.476000,3.895000,4.305000,4.305000,0
2008-10-01,4.237000,4.375000,3.884000,4.369000,4.369000,0
2008-11-01,4.374000,4.374000,3.468000,3.487000,3.487000,0
2008-12-01,3.385000,3.388000,2.519000,2.691000,2.691000,0
2009-01-01,2.657000,3.611000,2.620000,3.603000,3.603000,0
2009-02-01,3.590000,3.763000,3.414000,3.722000,3.722000,0
2009-03-01,3.648000,3.846000,3.374000,3.561000,3.561000,0
2009-04-01,3.526000,4.092000,3.494000,4.044000,4.044000,0
2009-05-01,4.078000,4.628000,4.032000,4.338000,4.338000,0
2009-06-01,4.374000,5.066000,4.266000,4.311000,4.311000,0
2009-07-01,4.375000,4.656000,4.156000,4.311000,4.311000,0
2009-08-01,4.368000,4.670000,4.176000,4.181000,4.181000,0
2009-09-01,4.189000,4.391000,4.017000,4.048000,4.048000,0
2009-10-01,4.031000,4.389000,3.888000,4.236000,4.236000,0
2009-11-01,4.251000,4.481000,4.190000,4.194000,4.194000,0
2009-12-01,4.231000,4.714000,4.220000,4.641000,4.641000,0
2010-01-01,4.679000,4.761000,4.488000,4.510000,4.510000,0
2010-02-01,4.518000,4.774000,4.486000,4.529000,4.529000,0
2010-03-01,4.559000,4.803000,4.537000,4.715000,4.715000,0
2010-04-01,4.744000,4.858000,4.527000,4.527000,4.527000,0
2010-05-01,4.549000,4.566000,3.984000,4.214000,4.214000,0
2010-06-01,4.182000,4.318000,3.908000,3.909000,3.909000,0
2010-07-01,3.878000,4.138000,3.826000,3.977000,3.977000,0
2010-08-01,4.022000,4.077000,3.462000,3.533000,3.533000,0
2010-09-01,3.542000,3.958000,3.542000,3.687000,3.687000,0
2010-10-01,3.720000,4.075000,3.637000,4.000000,4.000000,0
2010-11-01,3.964000,4.402000,3.857000,4.102000,4.102000,0
2010-12-01,4.173000,4.624000,4.167000,4.362000,4.362000,0
2011-01-01,4.399000,4.644000,4.351000,4.571000,4.571000,0
2011-02-01,4.611000,4.789000,4.484000,4.490000,4.490000,0
2011-03-01,4.520000,4.672000,4.320000,4.508000,4.508000,0
